id,province,curr_diagnose,sum_diagnose,death,cure,date,note
1321,江西,1,936,1,934,2020/3/27,
1322,湖北,2054,67801,3182,62565,2020/3/28,
1323,香港,445,561,4,112,2020/3/28,
1324,台湾,251,283,2,30,2020/3/28,
1325,北京,157,576,8,411,2020/3/28,
1326,上海,146,485,5,334,2020/3/28,
1327,广东,118,1467,8,1341,2020/3/28,
1328,福建,42,338,1,295,2020/3/28,
1329,澳门,27,37,0,10,2020/3/28,
1330,浙江,25,1251,1,1225,2020/3/28,
1331,天津,25,161,3,133,2020/3/28,
1332,内蒙古,20,95,1,74,2020/3/28,
1333,山东,13,772,7,752,2020/3/28,
1334,江苏,10,641,0,631,2020/3/28,
1335,四川,9,548,3,536,2020/3/28,
1336,甘肃,9,136,2,125,2020/3/28,
1337,陕西,8,253,3,242,2020/3/28,
1338,辽宁,8,134,2,124,2020/3/28,
1339,云南,6,180,2,172,2020/3/28,
1340,吉林,5,98,1,92,2020/3/28,
1341,重庆,3,579,6,570,2020/3/28,
1342,河北,3,319,6,310,2020/3/28,
1343,山西,3,136,0,133,2020/3/28,
1344,河南,2,1275,22,1251,2020/3/28,
1345,黑龙江,2,484,13,469,2020/3/28,
1346,广西,2,254,2,250,2020/3/28,
1347,江西,1,936,1,934,2020/3/28,
1348,贵州,1,147,2,144,2020/3/28,
1349,湖北,2049,67801,3182,62570,2020/3/29,
1350,香港,525,641,4,112,2020/3/29,
1351,台湾,266,298,2,30,2020/3/29,
1352,上海,159,498,5,334,2020/3/29,
1353,北京,157,577,8,412,2020/3/29,
1354,广东,118,1475,8,1349,2020/3/29,
1355,福建,44,340,1,295,2020/3/29,
1356,天津,30,166,3,133,2020/3/29,
1357,浙江,29,1255,1,1225,2020/3/29,
1358,澳门,27,37,0,10,2020/3/29,
1359,内蒙古,22,97,1,74,2020/3/29,
1360,山东,13,773,7,753,2020/3/29,
1361,江苏,13,644,0,631,2020/3/29,
1362,四川,11,550,3,536,2020/3/29,
1363,甘肃,11,138,2,125,2020/3/29,
1364,辽宁,10,136,2,124,2020/3/29,
1365,陕西,8,253,3,242,2020/3/29,
1366,云南,6,180,2,172,2020/3/29,
1367,吉林,5,98,1,92,2020/3/29,
1368,河南,3,1276,22,1251,2020/3/29,
1369,重庆,3,579,6,570,2020/3/29,
1370,河北,3,319,6,310,2020/3/29,
1371,山西,3,136,0,133,2020/3/29,
1372,江西,2,937,1,934,2020/3/29,
1373,黑龙江,2,484,13,469,2020/3/29,
1374,广西,2,254,2,250,2020/3/29,
1375,贵州,1,147,2,144,2020/3/29,
1376,湖北,1461,67801,3187,63153,2020/3/30,
1377,香港,554,682,4,124,2020/3/30,
1378,台湾,262,306,5,39,2020/3/30,
1379,上海,166,509,5,338,2020/3/30,
1380,北京,156,580,8,416,2020/3/30,
1381,广东,125,1484,8,1351,2020/3/30,
1382,福建,47,343,1,295,2020/3/30,
1383,天津,38,174,3,133,2020/3/30,
1384,内蒙古,32,107,1,74,2020/3/30,
1385,浙江,30,1257,1,1226,2020/3/30,
1386,澳门,29,39,0,10,2020/3/30,
1387,江苏,15,646,0,631,2020/3/30,
1388,山东,14,774,7,753,2020/3/30,
1389,辽宁,13,139,2,124,2020/3/30,
1390,四川,11,550,3,536,2020/3/30,
1391,甘肃,11,138,2,125,2020/3/30,
1392,陕西,8,253,3,242,2020/3/30,
1393,云南,7,181,2,172,2020/3/30,
1394,河北,5,321,6,310,2020/3/30,
1395,吉林,5,98,1,92,2020/3/30,
1396,河南,3,1276,22,1251,2020/3/30,
1397,重庆,3,579,6,570,2020/3/30,
1398,山西,3,136,0,133,2020/3/30,
1399,黑龙江,2,484,13,469,2020/3/30,
1400,广西,2,254,2,250,2020/3/30,
1401,江西,1,937,1,935,2020/3/30,
1402,贵州,1,147,2,144,2020/3/30,
